REPLICA,HARDWARE,CPU,MEM,ARCH,BATCH,NUM_BATCH_THREADS,MAX_ENQUEUED_BATCHES,INTRA_OP_PARALLELISM,INTER_OP_PARALLELISM,SLA,p99_latency,capacity,saturation_tp,timestamp
1,cpu,3,1.5G,50,1,3,1000000,1,3,1500,1256.12,32,33,2023-02-21T08:41:52.830882
1,cpu,3,2G,101,1,3,1000000,1,3,500,389.38,15,20,2023-02-21T08:44:11.021931
1,cpu,3,2G,101,1,3,1000000,1,3,750,664.17,17,20,2023-02-21T08:44:37.898582
1,cpu,3,2G,101,1,3,1000000,1,3,1000,664.17,17,20,2023-02-21T08:44:47.910826
1,cpu,3,2G,101,1,3,1000000,1,3,1500,1260.25,18,20,2023-02-21T08:45:15.170684
1,cpu,3,2.25G,152,1,3,1000000,1,3,500,390.84,9,15,2023-02-21T08:47:47.171111
1,cpu,3,2.25G,152,1,3,1000000,1,3,750,693.55,13,15,2023-02-21T08:48:31.242132
1,cpu,3,2.25G,152,1,3,1000000,1,3,1000,693.55,13,15,2023-02-21T08:48:41.253026
1,cpu,3,2.25G,152,1,3,1000000,1,3,1500,693.55,13,15,2023-02-21T08:48:51.263792
1,cpu,4,1G,18,1,4,1000000,1,4,500,360.68,79,92,2023-02-21T08:51:27.906469
1,cpu,4,1G,18,1,4,1000000,1,4,750,372.98,90,92,2023-02-21T08:52:47.738449
1,cpu,4,1G,18,1,4,1000000,1,4,1000,372.98,90,92,2023-02-21T08:52:57.749735
1,cpu,4,1G,18,1,4,1000000,1,4,1500,1110.51,91,92,2023-02-21T08:53:07.761786
1,cpu,4,1.25G,34,1,4,1000000,1,4,500,384.24,51,58,2023-02-21T08:55:33.216483
1,cpu,4,1.25G,34,1,4,1000000,1,4,750,693.55,54,58,2023-02-21T08:56:17.618184
1,cpu,4,1.25G,34,1,4,1000000,1,4,1000,693.55,54,58,2023-02-21T08:56:27.629212
1,cpu,4,1.25G,34,1,4,1000000,1,4,1500,691.35,57,58,2023-02-21T08:56:55.113546
1,cpu,4,1.5G,50,1,4,1000000,1,4,500,371.31,32,42,2023-02-21T08:59:11.585079
1,cpu,4,1.5G,50,1,4,1000000,1,4,750,645.28,36,42,2023-02-21T08:59:55.663725
1,cpu,4,1.5G,50,1,4,1000000,1,4,1000,645.28,36,42,2023-02-21T09:00:05.674672
1,cpu,4,1.5G,50,1,4,1000000,1,4,1500,1227.23,41,42,2023-02-21T09:00:49.907887
1,cpu,4,2G,101,1,4,1000000,1,4,500,386.76,19,28,2023-02-21T09:03:19.547288
1,cpu,4,2G,101,1,4,1000000,1,4,750,389.79,22,28,2023-02-21T09:04:19.662772
1,cpu,4,2G,101,1,4,1000000,1,4,1000,389.79,22,28,2023-02-21T09:04:29.674442
1,cpu,4,2G,101,1,4,1000000,1,4,1500,1245.36,26,28,2023-02-21T09:05:14.410009
1,cpu,4,2.25G,152,1,4,1000000,1,4,500,,9,18,2023-02-21T09:07:54.657954
1,cpu,4,2.25G,152,1,4,1000000,1,4,750,699.42,15,18,2023-02-21T09:08:38.264148
1,cpu,4,2.25G,152,1,4,1000000,1,4,1000,699.42,15,18,2023-02-21T09:08:48.275002
1,cpu,4,2.25G,152,1,4,1000000,1,4,1500,1247.91,16,18,2023-02-21T09:09:15.405942
1,cpu,5,1G,18,1,5,1000000,1,5,500,130.18,101,120,2023-02-21T09:12:10.759865
1,cpu,5,1G,18,1,5,1000000,1,5,750,633.95,122,120,2023-02-21T09:14:08.856303
1,cpu,5,1G,18,1,5,1000000,1,5,1000,633.95,122,120,2023-02-21T09:14:18.867537
1,cpu,5,1G,18,1,5,1000000,1,5,1500,1231.38,126,120,2023-02-21T09:16:00.496939
1,cpu,5,1.25G,34,1,5,1000000,1,5,500,374.23,60,63,2023-02-21T09:18:29.597448
1,cpu,5,1.25G,34,1,5,1000000,1,5,750,643.18,61,63,2023-02-21T09:18:56.723986
1,cpu,5,1.25G,34,1,5,1000000,1,5,1000,643.18,61,63,2023-02-21T09:19:06.735837
1,cpu,5,1.25G,34,1,5,1000000,1,5,1500,1220.59,62,63,2023-02-21T09:19:16.746848
1,cpu,5,1.5G,50,1,5,1000000,1,5,500,372.48,42,52,2023-02-21T09:21:34.328457
1,cpu,5,1.5G,50,1,5,1000000,1,5,750,692.18,48,52,2023-02-21T09:22:35.486960
1,cpu,5,1.5G,50,1,5,1000000,1,5,1000,692.18,48,52,2023-02-21T09:22:45.497943
1,cpu,5,1.5G,50,1,5,1000000,1,5,1500,1180.39,50,52,2023-02-21T09:23:14.994979
1,cpu,5,2G,101,1,5,1000000,1,5,500,373.35,23,34,2023-02-21T09:25:47.011650
1,cpu,5,2G,101,1,5,1000000,1,5,750,675.71,29,34,2023-02-21T09:26:47.474717
1,cpu,5,2G,101,1,5,1000000,1,5,1000,675.71,29,34,2023-02-21T09:26:57.485667
1,cpu,5,2G,101,1,5,1000000,1,5,1500,1175.67,30,34,2023-02-21T09:27:07.496661
1,cpu,5,2.25G,152,1,5,1000000,1,5,500,391.72,12,22,2023-02-21T09:29:48.224052
1,cpu,5,2.25G,152,1,5,1000000,1,5,750,686.2,16,22,2023-02-21T09:30:31.631755
1,cpu,5,2.25G,152,1,5,1000000,1,5,1000,686.2,16,22,2023-02-21T09:30:41.642818
1,cpu,5,2.25G,152,1,5,1000000,1,5,1500,686.2,16,22,2023-02-21T09:30:51.653742
1,cpu,6,1G,18,1,6,1000000,1,6,500,382.68,145,139,2023-02-21T09:33:34.114796
1,cpu,6,1G,18,1,6,1000000,1,6,750,679.91,155,139,2023-02-21T09:34:58.159684
1,cpu,6,1G,18,1,6,1000000,1,6,1000,679.91,155,139,2023-02-21T09:35:08.170674
1,cpu,6,1G,18,1,6,1000000,1,6,1500,1144.51,156,139,2023-02-21T09:35:18.181585
1,cpu,6,1.25G,34,1,6,1000000,1,6,500,381.86,73,76,2023-02-21T09:37:49.532136
1,cpu,6,1.25G,34,1,6,1000000,1,6,750,632.69,75,76,2023-02-21T09:38:16.891318
1,cpu,6,1.25G,34,1,6,1000000,1,6,1000,632.69,75,76,2023-02-21T09:38:26.902405
1,cpu,6,1.25G,34,1,6,1000000,1,6,1500,632.69,75,76,2023-02-21T09:38:36.913170
1,cpu,6,1.5G,50,1,6,1000000,1,6,500,386.0,60,67,2023-02-21T09:41:09.246198
1,cpu,6,1.5G,50,1,6,1000000,1,6,750,698.16,65,67,2023-02-21T09:42:11.565265
1,cpu,6,1.5G,50,1,6,1000000,1,6,1000,698.16,65,67,2023-02-21T09:42:21.576206
1,cpu,6,1.5G,50,1,6,1000000,1,6,1500,698.16,65,67,2023-02-21T09:42:31.587116
1,cpu,6,2G,101,1,6,1000000,1,6,500,388.44,23,36,2023-02-21T09:45:09.096892
1,cpu,6,2G,101,1,6,1000000,1,6,750,657.87,31,36,2023-02-21T09:46:09.685694
1,cpu,6,2G,101,1,6,1000000,1,6,1000,657.87,31,36,2023-02-21T09:46:19.691775
1,cpu,6,2G,101,1,6,1000000,1,6,1500,1237.43,34,36,2023-02-21T09:47:04.180663
1,cpu,6,2.25G,152,1,6,1000000,1,6,500,391.04,21,29,2023-02-21T09:49:57.052577
1,cpu,6,2.25G,152,1,6,1000000,1,6,750,686.2,25,29,2023-02-21T09:50:40.600599
1,cpu,6,2.25G,152,1,6,1000000,1,6,1000,686.2,25,29,2023-02-21T09:50:50.611541
1,cpu,6,2.25G,152,1,6,1000000,1,6,1500,1263.02,28,29,2023-02-21T09:51:17.820072
1,cpu,7,1G,18,1,7,1000000,1,7,500,216.32,149,147,2023-02-21T09:54:17.785722
1,cpu,7,1G,18,1,7,1000000,1,7,750,687.71,169,147,2023-02-21T09:55:42.082881
1,cpu,7,1G,18,1,7,1000000,1,7,1000,687.71,169,147,2023-02-21T09:55:52.093814
1,cpu,7,1G,18,1,7,1000000,1,7,1500,1233.46,172,147,2023-02-21T09:56:41.131983
1,cpu,7,1.25G,34,1,7,1000000,1,7,500,385.21,81,88,2023-02-21T09:59:28.726947
1,cpu,7,1.25G,34,1,7,1000000,1,7,750,385.21,81,88,2023-02-21T09:59:38.738000
1,cpu,7,1.25G,34,1,7,1000000,1,7,1000,693.49,87,88,2023-02-21T10:00:41.302926
1,cpu,7,1.25G,34,1,7,1000000,1,7,1500,693.49,87,88,2023-02-21T10:00:51.314569
1,cpu,7,1.5G,50,1,7,1000000,1,7,500,387.5,55,70,2023-02-21T10:03:27.477598
1,cpu,7,1.5G,50,1,7,1000000,1,7,750,638.99,67,70,2023-02-21T10:04:29.594535
