REPLICA,HARDWARE,CPU,MEM,ARCH,BATCH,NUM_BATCH_THREADS,MAX_ENQUEUED_BATCHES,INTRA_OP_PARALLELISM,INTER_OP_PARALLELISM,SLA,p99_latency,capacity,saturation_tp,timestamp
1,cpu,11,22G,18,1,11,1000000,1,11,750,624.19,263.0,223.0,2023-01-10T14:29:10.609362
1,cpu,11,22G,34,1,11,1000000,1,11,750,351.88,134.0,128.0,2023-01-10T14:33:45.849511
1,cpu,11,22G,50,1,11,1000000,1,11,750,503.56,101.0,103.4,2023-01-10T14:38:25.919801
1,cpu,11,22G,101,1,11,1000000,1,11,750,668.02,57,60.1,2023-01-10T14:42:16.290839
1,cpu,11,22G,152,1,11,1000000,1,11,750,699.95,39,42.6,2023-01-10T14:47:03.779049
1,cpu,12,24G,18,1,12,1000000,1,12,750,592.98,284.0,236.5,2023-01-10T14:52:32.151365
1,cpu,12,24G,34,1,12,1000000,1,12,750,366.79,150.0,142.75,2023-01-10T14:57:11.858106
1,cpu,12,24G,50,1,12,1000000,1,12,750,505.04,118.0,105.17,2023-01-10T15:01:55.286120
1,cpu,12,24G,101,1,12,1000000,1,12,750,685.86,61,63.6,2023-01-10T15:06:20.102116
1,cpu,12,24G,152,1,12,1000000,1,12,750,679.56,41,46.07,2023-01-10T15:11:07.780857
1,cpu,13,26G,18,1,13,1000000,1,13,750,698.18,309.0,260.5,2023-01-10T15:16:41.166584
1,cpu,13,26G,34,1,13,1000000,1,13,750,705.07,167.0,149.75,2023-01-10T15:21:22.560301
1,cpu,13,26G,50,1,13,1000000,1,13,750,581.82,125.0,116.67,2023-01-10T15:26:04.532974
1,cpu,13,26G,101,1,13,1000000,1,13,750,703.8,65,67.91,2023-01-10T15:30:32.630178
1,cpu,13,26G,152,1,13,1000000,1,13,750,667.36,46,48.6,2023-01-10T15:35:24.019679
1,cpu,14,28G,18,1,14,1000000,1,14,750,704.37,329.0,274.5,2023-01-10T15:40:56.865783
1,cpu,14,28G,34,1,14,1000000,1,14,750,463.06,173.0,156.75,2023-01-10T15:45:37.175414
1,cpu,14,28G,50,1,14,1000000,1,14,750,640.76,133.0,121.17,2023-01-10T15:50:21.826473
1,cpu,14,28G,101,1,14,1000000,1,14,750,705.7,71,73.2,2023-01-10T15:54:16.267417
1,cpu,14,28G,152,1,14,1000000,1,14,750,684.43,47,52.19,2023-01-10T15:58:36.491202
1,cpu,15,30G,18,1,15,1000000,1,15,750,681.03,351.0,334.0,2023-01-10T16:04:20.432147
1,cpu,15,30G,34,1,15,1000000,1,15,750,316.89,185.0,164.0,2023-01-10T16:09:08.420338
1,cpu,15,30G,50,1,15,1000000,1,15,750,649.89,144.0,128.83,2023-01-10T16:13:57.390179
1,cpu,15,30G,101,1,15,1000000,1,15,750,645.88,78,77.36,2023-01-10T16:17:55.161961
1,cpu,15,30G,152,1,15,1000000,1,15,750,704.24,50,54.53,2023-01-10T16:22:16.0589671
1,cpu,16,32G,18,1,16,1000000,1,16,750,581.19,402.0,313.5,2023-01-11T11:35:40.173516
1,cpu,16,32G,34,1,16,1000000,1,16,750,379.38,209.0,182.75,2023-01-11T11:40:26.118554
1,cpu,16,32G,50,1,16,1000000,1,16,750,407.24,155.0,142.17,2023-01-11T11:45:12.619190
1,cpu,16,32G,101,1,16,1000000,1,16,750,461.09,82,84.27,2023-01-11T11:49:08.223045
1,cpu,16,32G,152,1,16,1000000,1,16,750,695.38,58,60.57,2023-01-11T11:53:57.392842
1,cpu,17,34G,18,1,17,1000000,1,17,750,442.85,437.0,339.0,2023-01-11T12:00:30.374547
1,cpu,17,34G,34,1,17,1000000,1,17,750,665.5,225.0,192.75,2023-01-11T12:05:17.436421
1,cpu,17,34G,50,1,17,1000000,1,17,750,674.78,169.0,149.33,2023-01-11T12:10:38.274400
1,cpu,17,34G,101,1,17,1000000,1,17,750,570.31,90,88.64,2023-01-11T12:15:07.917440
1,cpu,17,34G,152,1,17,1000000,1,17,750,620.98,61,63.4,2023-01-11T12:19:57.646082
